episode,season,title,file_name,link
E04,S05,Archer Vice: House Call,S05_E04_Archer_Vice_House_Call,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6607058
E05,S05,Archer Vice: Southbound and Down,S05_E05_Archer_Vice_Southbound_and_Down,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6627751
E06,S05,Archer Vice: Baby Shower,S05_E06_Archer_Vice_Baby_Shower,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6042110
E07,S05,Archer Vice: Smugglers' Blues,S05_E07_Archer_Vice_Smugglers_Blues,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6628636
E08,S05,Archer Vice: The Rules of Extraction,S05_E08_Archer_Vice_The_Rules_of_Extraction,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6628652
E09,S05,Archer Vice: On the Carpet,S05_E09_Archer_Vice_On_the_Carpet,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6628670
E10,S05,Archer Vice: Palace Intrigue - Part I,S05_E10_Archer_Vice_Palace_Intrigue__Part_I,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6042256
E11,S05,Archer Vice: Palace Intrigue: Part II,S05_E11_Archer_Vice_Palace_Intrigue_Part_II,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6042287
E12,S05,Archer Vice: Filibuster,S05_E12_Archer_Vice_Filibuster,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6607922
E13,S05,Archer Vice: Arrival/Departure,S05_E13_Archer_Vice_ArrivalDeparture,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6043105
E01,S06,The Holdout,S06_E01_The_Holdout,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180299
E02,S06,Three to Tango,S06_E02_Three_to_Tango,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6610888
E03,S06,The Archer Sanction,S06_E03_The_Archer_Sanction,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6111671
E04,S06,Edie's Wedding,S06_E04_Edies_Wedding,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180303
E05,S06,Vision Quest,S06_E05_Vision_Quest,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180305
E06,S06,Sitting,S06_E06_Sitting,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6612071
E07,S06,Nellis,S06_E07_Nellis,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6612223
E08,S06,The Kanes,S06_E08_The_Kanes,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180309
E09,S06,Pocket Listing,S06_E09_Pocket_Listing,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6348288
E10,S06,Reignition Sequence,S06_E10_Reignition_Sequence,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6093531
E11,S06,Achub y Morfilod,S06_E11_Achub_y_Morfilod,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6294801
E12,S06,Drastic Voyage: Part 1,S06_E12_Drastic_Voyage_Part_1,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6108737
E13,S06,Drastic Voyage: Part 2,S06_E13_Drastic_Voyage_Part_2,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6343368
E01,S07,The Figgis Agency,S07_E01_The_Figgis_Agency,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6603904
E02,S07,The Handoff,S07_E02_The_Handoff,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7075964
E03,S07,Deadly Prep,S07_E03_Deadly_Prep,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6610818
E04,S07,Motherless Child,S07_E04_Motherless_Child,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6922675
E05,S07,Bel Panto: Part I,S07_E05_Bel_Panto_Part_I,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6609780
E06,S07,Bel Panto: Part II,S07_E06_Bel_Panto_Part_II,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6922689
E07,S07,Double Indecency,S07_E07_Double_Indecency,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6922695
E08,S07,Liquid Lunch,S07_E08_Liquid_Lunch,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6632381
E09,S07,Deadly Velvet: Part 1,S07_E09_Deadly_Velvet_Part_1,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6922700
E10,S07,Deadly Velvet: Part 2,S07_E10_Deadly_Velvet_Part_2,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6922703
E01,S08,Archer Dreamland: No Good Deed,S08_E01_Archer_Dreamland_No_Good_Deed,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6944991
E02,S08,Archer Dreamland: Berenice,S08_E02_Archer_Dreamland_Berenice,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6948863
E03,S08,Archer Dreamland: Jane Doe,S08_E03_Archer_Dreamland_Jane_Doe,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6957208
E04,S08,Archer Dreamland: Ladyfingers,S08_E04_Archer_Dreamland_Ladyfingers,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6964027
E05,S08,Archer Dreamland: Sleepers Wake,S08_E05_Archer_Dreamland_Sleepers_Wake,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6970237
E06,S08,Archer Dreamland: Waxing Gibbous,S08_E06_Archer_Dreamland_Waxing_Gibbous,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6977893
E07,S08,"Archer Dreamland: Gramercy, Halberd!",S08_E07_Archer_Dreamland_Gramercy_Halberd,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6985198
E08,S08,Archer Dreamland: Auflosung,S08_E08_Archer_Dreamland_Auflosung,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180339
E01,S09,Danger Island: Strange Pilot,S09_E01_Danger_Island_Strange_Pilot,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7341897
E02,S09,Danger Island: Disheartening Situation,S09_E02_Danger_Island_Disheartening_Situation,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7349241
E03,S09,Danger Island: Different Modes of Preparing the Fruit,S09_E03_Danger_Island_Different_Modes_of_Preparing_the_Fruit,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7359302
E04,S09,Danger Island: A Warrior in Costume,S09_E04_Danger_Island_A_Warrior_in_Costume,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7364914
E05,S09,Danger Island: Strange Doings in the Taboo Groves,S09_E05_Danger_Island_Strange_Doings_in_the_Taboo_Groves,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7372648
E06,S09,Danger Island: Some Remarks on Cannibalism,S09_E06_Danger_Island_Some_Remarks_on_Cannibalism,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7378103
E07,S09,Danger Island: Comparative Wickedness of Civilized and Unenlightened Peoples,S09_E07_Danger_Island_Comparative_Wickedness_of_Civilized_and_Unenlightened_Peoples,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7383894
